City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Butembo,CD,0.15,29.2833,61.41,75,99,1.77,overcast clouds
256,Qostanay,KZ,53.1667,63.5833,33.8,93,40,15.66,scattered clouds
257,Hammerfest,NO,70.6634,23.6821,26.6,93,90,14.97,snow
258,Hay River,CA,60.8156,-115.7999,-27.4,68,99,3.44,overcast clouds
259,Nanortalik,GL,60.1432,-45.2371,20.55,73,0,4.07,clear sky
260,Ulladulla,AU,-35.35,150.4667,72.0,100,75,8.05,broken clouds
261,Nyuksenitsa,RU,60.4128,44.2397,-8.23,90,100,9.71,overcast clouds
262,Kitimat,CA,54.0524,-128.6534,36.0,89,100,1.01,overcast clouds
263,Nelson Bay,AU,-32.7167,152.15,75.2,83,90,8.05,overcast clouds
264,Shepetivka,UA,50.1855,27.0637,19.67,92,100,1.3,overcast clouds
265,San Cristobal,VE,7.7669,-72.225,67.84,79,100,1.66,overcast clouds
266,Yakima,US,46.4665,-120.6678,46.99,49,1,9.22,clear sky
267,Mahabaleshwar,IN,17.9167,73.6667,59.99,38,0,7.45,clear sky
268,Qandala,SO,11.472,49.8728,71.98,63,19,8.37,few clouds
269,Hit,IQ,33.6416,42.8251,56.23,88,100,12.12,overcast clouds
270,Oroville,US,39.5138,-121.5564,53.6,62,1,3.53,clear sky
271,Yulara,AU,-25.2406,130.9889,80.6,26,94,12.66,overcast clouds
272,Bandundu,CD,-3.3167,17.3667,73.71,92,100,2.8,overcast clouds
273,Arlit,NE,18.7369,7.3853,64.63,26,14,11.52,few clouds
274,Husavik,IS,66.0449,-17.3389,32.0,69,75,13.8,broken clouds
275,Dudinka,RU,69.4058,86.1778,-30.15,84,100,4.79,overcast clouds
276,Zhigansk,RU,66.7697,123.3711,-39.64,77,63,5.66,broken clouds
277,Kerema,PG,-7.9631,145.7785,86.54,62,100,4.05,overcast clouds
278,San Patricio,US,28.017,-97.5169,59.0,82,90,13.8,overcast clouds
279,Wagar,SD,16.1525,36.2032,55.36,39,0,8.66,clear sky
280,Araguari,BR,-18.6472,-48.1872,69.75,92,90,1.72,overcast clouds
281,Yilan,TW,24.757,121.753,78.8,53,20,2.3,few clouds
282,El Campo,US,29.1966,-96.2697,52.0,76,90,4.61,overcast clouds
283,Saldanha,ZA,-33.0117,17.9442,64.42,92,0,15.7,clear sky
284,Flinders,AU,-34.5833,150.8552,72.0,93,100,7.0,light rain
285,Taldan,RU,53.6667,124.8,-6.2,84,98,7.58,overcast clouds
286,Tiksi,RU,71.6872,128.8694,-24.0,87,100,3.44,overcast clouds
287,Pevek,RU,69.7008,170.3133,-13.5,85,100,1.92,overcast clouds
288,Liku,ID,-0.7275,119.8922,87.96,52,100,0.87,overcast clouds
289,Talnakh,RU,69.4865,88.3972,-27.4,83,67,5.19,broken clouds
290,Palana,RU,59.1167,159.9667,1.63,93,100,6.49,overcast clouds
291,Souillac,MU,-20.5167,57.5167,78.8,83,75,10.36,broken clouds
292,Kirakira,SB,-10.4544,161.9205,83.25,75,100,8.68,overcast clouds
293,Ust-Kan,RU,50.9276,84.761,16.84,91,63,3.91,broken clouds
294,Phan Thiet,VN,10.9333,108.1,81.72,57,7,7.87,clear sky
295,Kembe,CF,4.6228,21.8865,67.82,55,20,3.04,few clouds
296,Lafia,NG,8.4833,8.5167,73.6,24,0,1.66,clear sky
297,Mutsu,JP,41.2894,141.2169,41.0,70,40,6.91,scattered clouds
298,Kavaratti,IN,10.5669,72.642,80.6,75,53,13.62,broken clouds
299,Izumo,JP,35.3667,132.7667,57.2,58,40,16.11,scattered clouds
300,Narsaq,GL,60.9167,-46.05,12.2,62,0,5.75,clear sky
301,College,US,64.8569,-147.8028,-7.6,71,75,3.44,broken clouds
302,Adrar,MR,20.5022,-10.0711,59.74,46,99,14.18,overcast clouds
303,Miyako,JP,39.6367,141.9525,46.49,68,65,6.46,broken clouds
304,San Quintin,MX,30.4833,-115.95,57.9,78,0,11.01,clear sky
305,Portland,US,45.5234,-122.6762,50.0,81,90,4.61,overcast clouds
306,Conceicao Da Barra,BR,-18.5933,-39.7322,79.77,77,100,9.42,moderate rain
307,Sumenep,ID,-7.0167,113.8667,84.67,74,91,15.88,overcast clouds
308,Grong,NO,64.4654,12.3149,9.14,85,0,2.44,clear sky
309,Morros,BR,-9.4467,-46.3003,72.91,89,100,3.18,overcast clouds
310,Waingapu,ID,-9.6567,120.2641,85.26,68,100,13.85,overcast clouds
311,Teguldet,RU,57.3064,88.1667,8.85,94,100,5.57,overcast clouds
312,Kyren,RU,51.6828,102.1408,5.58,80,94,0.63,overcast clouds
313,Sunbury,AU,-37.5833,144.7333,73.0,60,75,19.57,broken clouds
314,Blagoyevo,RU,63.3667,47.9167,-10.23,88,100,11.18,overcast clouds
315,Henties Bay,NA,-22.116,14.2845,64.99,89,67,1.99,broken clouds
316,Alofi,NU,-19.0595,-169.9187,78.8,89,100,12.66,light rain
317,Nemuro,JP,43.3236,145.575,33.8,80,20,11.5,few clouds
318,Pacific Grove,US,36.6177,-121.9166,51.8,71,1,3.44,clear sky
319,Mier,MX,26.4333,-99.15,64.4,55,90,5.75,overcast clouds
320,Avarua,CK,-21.2078,-159.775,86.0,70,75,10.36,broken clouds
321,Boden,SE,65.8252,21.6886,21.2,86,90,10.36,overcast clouds
322,Ejea De Los Caballeros,ES,42.1263,-1.1372,53.01,87,99,4.61,overcast clouds
323,Bwanga,TZ,-3.0308,31.7601,62.91,90,42,2.62,scattered clouds
324,Khorixas,NA,-20.3667,14.9667,74.14,49,52,0.74,broken clouds
325,Sisimiut,GL,66.9395,-53.6735,15.01,75,100,14.03,overcast clouds
326,Makakilo City,US,21.3469,-158.0858,75.2,46,1,14.97,clear sky
327,Bafq,IR,31.6128,55.4107,57.15,32,26,9.69,scattered clouds
328,Dajal,PK,29.5577,70.3762,53.96,48,0,2.37,clear sky
329,Tahe,CN,52.3333,124.7333,-3.1,82,83,8.59,broken clouds
330,Visby,SE,57.6409,18.296,23.0,86,75,8.05,light snow
331,Sanchazi,CN,42.0817,126.6003,28.63,94,99,6.11,overcast clouds
332,Porto Uniao,BR,-26.2381,-51.0783,54.27,91,0,1.92,clear sky
333,Kurtamysh,RU,54.9103,64.4319,34.77,96,100,17.49,overcast clouds
334,Sumbawanga,TZ,-7.9667,31.6167,57.49,93,93,0.6,light rain
335,Lasa,IT,46.6166,10.7002,39.99,93,75,3.44,broken clouds
336,Salinas,US,36.6777,-121.6555,51.8,87,1,4.61,clear sky
337,Haines Junction,CA,60.7522,-137.5108,-16.6,76,100,1.14,overcast clouds
338,Hobyo,SO,5.3505,48.5268,76.12,77,19,14.34,few clouds
339,Ponte San Nicolo,IT,45.3705,11.9211,48.0,93,97,2.06,overcast clouds
340,Qasigiannguit,GL,68.8193,-51.1922,8.6,40,100,1.14,overcast clouds
341,Evensk,RU,61.95,159.2333,-0.53,88,94,14.47,overcast clouds
342,Dunmore Town,BS,25.5,-76.65,74.62,79,3,10.98,clear sky
343,Havelock,US,34.8791,-76.9013,51.8,100,1,9.22,clear sky
344,Poum,NC,-20.2333,164.0167,80.01,70,6,7.09,clear sky
345,Boyolangu,ID,-8.1181,111.8935,85.08,68,16,6.4,light rain
346,Kirovskiy,RU,45.0917,133.5136,9.43,94,100,5.37,overcast clouds
